1331 2932
0 554 37
0 556 105
1 4 18
1 559 22
2 555 168
3 2 297
3 5 100
4 560 79
5 6 40
6 1186 19
7 17 103
7 25 20
8 203 119
8 18 65
9 3 152
10 838 60
10 729 116
10 11 109
11 1120 111
11 10 109
12 1233 18
13 1289 21
13 1276 6
14 617 7
14 38 77
14 342 230
15 406 179
15 1224 11
16 862 353
16 630 17
16 1219 176
17 453 121
18 314 117
18 19 72
19 20 42
20 457 15
20 1250 17
21 1287 31
21 28 27
21 554 159
22 565 73
22 283 93
23 35 55
24 8 58
25 24 123
25 571 123
26 678 32
26 27 26
27 480 213
27 1 133
28 633 24
28 557 25
29 1221 49
29 454 383
30 31 12
31 436 48
31 99 30
32 553 210
32 33 184
33 558 24
34 23 85
34 789 134
35 1297 38
35 1296 140
36 788 126
36 1296 163
37 12 10
37 34 201
38 616 7
38 670 88
39 1199 33
39 845 107
39 519 113
40 630 20
40 16 18
41 418 172
41 43 141
42 43 75
42 65 338
42 573 65
43 802 157
43 42 75
43 41 141
44 478 88
44 47 16
45 135 79
45 416 21
46 477 72
46 44 30
47 49 40
48 325 72
48 50 70
48 51 66
49 45 50
49 66 62
50 48 70
50 573 170
50 807 65
51 686 69
51 1076 149
51 48 66
52 879 12
52 878 60
52 166 52
53 118 61
53 574 68
53 577 137
54 577 33
54 503 63
55 56 34
55 576 115
56 1193 12
56 57 118
57 576 36
57 808 10
57 52 194
58 86 22
58 252 67
58 61 71
59 60 12
59 117 129
59 87 139
60 59 12
60 512 81
60 296 61
61 117 70
61 58 71
61 337 137
62 63 12
62 1282 50
63 62 12
63 56 39
64 104 40
64 464 193
65 66 9
65 42 338
65 352 100
66 65 9
66 851 41
66 49 62
67 521 11
67 966 46
68 150 12
68 178 54
68 70 121
69 299 9
69 968 33
69 1294 185
70 946 128
70 364 14
70 699 308
71 285 123
71 72 125
72 90 120
72 568 123
73 97 121
73 226 247
74 79 7
74 1258 73
75 1201 8
75 74 104
76 78 44
76 563 136
77 563 70
77 88 19
77 566 216
77 1229 170
78 83 116
78 84 124
79 562 71
79 1201 100
80 79 77
81 570 214
81 80 7
82 84 90
82 1259 71
82 83 117
83 85 137
83 707 222
84 74 53
85 220 120
85 82 240
85 83 137
86 58 22
86 1077 92
86 885 71
87 551 10
87 337 179
87 32 258
88 1202 11
88 457 131
89 728 204
89 1120 286
90 93 128
90 73 124
91 73 125
91 690 10
92 220 97
93 549 41
94 792 9
94 631 44
95 398 103
95 206 191
96 518 34
96 1233 90
96 851 59
97 569 123
97 72 122
98 76 141
98 552 129
99 1228 12
100 104 92
100 682 70
100 105 44
100 619 96
101 40 15
101 628 294
102 103 14
103 408 14
104 100 92
104 940 125
105 1208 82
105 100 44
106 107 10
106 412 525
107 106 10
107 1175 130
107 243 1256
108 1262 73
108 860 203
109 1100 71
109 281 28
110 1052 76
111 473 124
111 121 118
112 156 68
112 575 149
113 1320 19
113 442 100
114 354 104
114 393 76
114 149 125
115 480 122
115 1 150
116 893 103
116 198 88
117 152 61
117 59 129
117 61 70
118 53 61
118 801 98
118 801 215
118 430 266
119 458 9
119 328 122
120 168 44
121 1197 46
121 1252 115
122 223 126
122 920 249
122 919 153
123 487 9
124 246 52
124 853 4
124 1299 6
125 154 53
125 533 56
125 329 109
126 351 47
126 1183 26
126 479 62
127 1142 61
127 1141 103
128 462 126
128 1215 96
129 1266 12
129 1131 47
129 847 98
130 844 140
130 506 13
131 1163 62
131 315 60
131 192 130
131 854 77
132 1293 10
132 642 38
133 988 97
133 733 26
133 734 52
134 222 182
134 426 160
135 1002 47
135 238 101
135 515 96
136 1102 145
137 747 81
137 23 66
138 219 67
138 529 50
139 1242 120
140 774 53
140 886 64
140 998 143
141 842 96
141 154 48
142 1090 62
142 797 51
142 182 126
143 935 146
143 164 38
143 190 97
144 405 12
144 265 80
144 848 94
145 1136 49
146 259 47
147 124 27
147 176 110
148 180 41
148 331 72
148 317 78
148 742 122
149 929 111
149 114 125
150 68 12
150 362 130
151 1257 144
151 174 122
152 117 61
152 252 144
152 880 67
153 1130 17
153 280 162
154 125 53
154 141 48
154 329 123
155 111 122
155 151 122
156 54 36
156 574 142
157 276 67
158 622 12
158 305 48
158 229 31
159 840 59
159 1196 51
159 1235 44
160 1117 69
160 173 153
161 998 58
161 343 128
161 1001 59
162 896 114
163 1055 64
163 899 60
163 460 112
164 143 38
164 1015 46
164 1014 57
165 67 10
165 1295 271
166 1163 88
167 312 124
167 929 120
168 242 42
168 120 44
168 908 107
169 525 76
169 790 104
170 111 119
170 930 123
171 261 76
171 349 160
171 377 123
172 1111 107
172 531 71
173 387 61
174 510 72
174 1257 192
175 893 17
175 200 106
176 147 110
176 790 164
176 525 250
177 1037 24
177 1031 68
177 1305 6
178 1005 45
178 68 54
178 428 123
179 492 131
179 389 272
179 512 205
179 378 74
180 148 41
181 451 43
181 265 42
181 313 69
182 318 134
182 839 146
183 926 69
183 871 187
183 368 120
184 1261 43
184 1093 58
184 1089 63
185 511 123
185 167 111
