1331 2932
0 554 37
5 6 40
7 17 103
7 25 20
16 630 17
16 1219 176
17 453 121
20 457 15
25 571 123
28 633 24
31 436 48
32 553 210
37 34 201
39 519 113
48 50 70
50 807 65
51 686 69
51 1076 149
52 878 60
64 104 40
65 66 9
65 42 338
69 1294 185
71 285 123
72 568 123
73 97 121
77 563 70
77 88 19
77 1229 170
81 80 7
87 337 179
88 457 131
89 728 204
99 1228 12
101 628 294
103 408 14
104 940 125
106 107 10
108 1262 73
109 281 28
110 1052 76
112 575 149
114 354 104
118 430 266
121 1197 46
122 223 126
124 246 52
126 479 62
127 1142 61
128 1215 96
129 1266 12
132 642 38
135 1002 47
136 1102 145
138 219 67
138 529 50
139 1242 120
141 154 48
142 797 51
143 190 97
146 259 47
149 114 125
151 1257 144
152 880 67
153 1130 17
154 125 53
156 54 36
158 305 48
161 998 58
163 1055 64
164 1015 46
167 312 124
168 242 42
168 120 44
168 908 107
170 111 119
171 349 160
172 1111 107
176 790 164
177 1037 24
177 1031 68
178 68 54
178 428 123
179 389 272
181 265 42
181 313 69
182 318 134
184 1089 63
186 1122 43
187 379 131
188 973 44
192 252 58
193 830 52
195 1127 120
196 255 29
197 1189 128
199 172 52
200 1074 44
203 8 119
204 317 65
205 1152 77
207 458 121
218 174 130
221 1145 11
223 572 137
226 767 125
227 381 244
229 981 111
229 158 31
231 399 58
233 142 40
235 500 58
237 659 67
239 1278 174
240 1089 81
243 1213 36
243 1214 24
244 1087 83
245 933 32
247 204 73
248 866 112
251 1203 67
251 605 207
252 1076 114
252 152 144
253 264 122
254 977 111
255 865 26
256 275 132
264 253 122
266 861 142
266 769 340
267 475 88
268 465 66
270 296 11
271 432 54
275 482 55
277 434 154
279 488 41
281 109 28
282 662 27
282 1021 121
283 544 37
286 1321 319
287 508 61
287 768 74
288 533 136
288 329 42
290 1055 60
293 501 13
296 1082 51
299 69 9
302 1307 18
305 622 50
305 819 89
311 1095 123
313 339 147
314 564 56
317 381 200
321 429 105
322 649 4
324 651 69
325 884 69
326 926 100
328 207 9
329 288 42
336 640 77
337 274 55
338 284 59
343 161 128
343 748 107
344 1164 12
346 191 165
350 795 191
352 441 291
353 376 145
354 991 30
359 498 127
361 193 40
361 514 26
361 356 258
366 212 50
367 1141 57
369 509 115
377 1138 63
377 472 66
