100 183
0 9 387
0 66 828
0 27 132
0 11 177
0 56 612
1 69 685
1 9 718
1 42 631
1 87 231
1 65 534
2 82 833
2 82 228
2 95 346
2 81 912
2 47 831
2 61 752
3 38 592
3 78 561
3 19 142
3 85 839
4 84 739
4 24 351
4 46 179
4 68 305
5 22 726
5 58 934
5 17 933
5 29 441
5 66 818
6 69 423
6 10 238
6 8 491
6 78 800
6 33 174
6 78 258
7 46 208
7 74 302
8 26 515
8 41 212
8 67 674
8 96 195
9 19 963
9 66 345
9 85 108
9 62 418
10 86 114
10 83 562
10 39 139
10 37 365
10 76 314
11 49 803
11 47 667
11 51 729
11 38 506
12 19 794
12 67 857
13 29 651
13 89 261
13 97 982
13 98 390
15 27 451
15 29 783
16 21 810
16 30 550
16 97 940
17 46 183
17 69 476
18 49 415
18 62 120
18 35 836
18 40 798
18 65 611
18 69 928
18 93 285
18 96 261
19 65 824
20 26 186
20 81 343
21 74 177
21 48 712
21 82 241
21 33 365
21 60 233
22 44 879
22 45 112
22 82 796
22 93 384
23 59 371
24 55 693
24 88 103
24 95 685
25 89 422
25 94 927
26 55 696
26 69 343
27 53 240
28 50 204
28 34 269
28 93 656
29 87 908
29 81 985
29 41 420
29 52 157
29 77 860
30 85 254
30 81 276
31 67 638
32 65 240
32 83 914
32 66 338
32 98 577
33 46 677
33 97 779
33 74 361
33 78 258
34 57 905
36 46 621
36 52 975
36 59 665
36 65 690
36 69 158
37 46 185
37 78 718
38 83 219
38 58 747
38 83 456
39 97 245
40 56 876
40 85 490
41 70 401
41 67 925
44 84 904
44 71 390
44 66 945
44 81 538
46 56 969
46 98 264
47 66 708
47 76 280
47 77 828
47 85 104
47 88 110
47 98 729
48 92 546
49 76 958
49 90 748
50 83 515
51 87 769
52 89 616
53 80 803
54 76 361
55 80 399
55 94 162
56 73 994
58 78 923
59 96 648
60 65 492
60 74 236
60 84 513
63 89 339
64 66 692
66 70 213
68 91 560
68 85 627
68 87 964
71 88 390
72 81 978
74 83 585
76 88 121
77 87 399
78 99 355
79 80 901
79 82 392
80 87 210
81 83 573
81 86 917
82 84 934
82 92 614
83 84 719
90 97 989
91 94 534
92 94 422
92 94 814
